,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OWS,DWS,WS,OBPM,DBPM,BPM,VORP,Year,UID,Salary,Cap%
40,Chauncey Billups,SG,36,LAC,22,22,19.0,2.4,6.0,1.5,4.1,0.9,1.9,2.0,2.2,0.1,1.4,1.5,2.2,0.5,0.0,1.2,1.1,8.4,1.0,0.3,1.3,1.6,-1.1,0.5,0.3,2013,billuch01,  4000000 ,0.06816748751682884
41,Bismack Biyombo,C,20,CHA,80,65,27.3,2.0,4.3,0.0,0.0,2.0,4.3,0.9,1.8,2.4,4.9,7.3,0.4,0.4,1.8,1.0,2.4,4.8,0.1,1.3,1.4,-3.6,-0.8,-4.4,-1.3,2013,biyombi01,  3007920 ,0.05126058726290496
42,DeJuan Blair,PF,23,SAS,61,16,14.0,2.3,4.4,0.0,0.0,2.3,4.4,0.7,1.1,1.1,2.7,3.8,0.7,0.6,0.2,0.8,1.8,5.4,0.7,1.5,2.2,-2.4,0.8,-1.6,0.1,2013,blairde01,  1054000 ,0.017962132960684402
43,Steve Blake,PG,32,LAL,45,13,26.1,2.5,6.0,1.6,3.8,0.9,2.2,0.6,0.8,0.5,2.5,2.9,3.8,0.8,0.1,1.4,1.8,7.3,1.6,0.8,2.4,0.1,0.4,0.5,0.7,2013,blakest01,  4000000 ,0.06816748751682884
44,Andray Blatche,C,26,BRK,82,8,19.0,4.2,8.2,0.0,0.3,4.2,8.0,1.8,2.6,2.0,3.1,5.1,1.0,1.0,0.7,1.5,2.0,10.3,2.4,2.5,4.9,1.3,0.9,2.2,1.6,2013,blatcan01,  1146337 ,0.019535728284394756
45,Andray Blatche,C,26,BRK,82,8,19.0,4.2,8.2,0.0,0.3,4.2,8.0,1.8,2.6,2.0,3.1,5.1,1.0,1.0,0.7,1.5,2.0,10.3,2.4,2.5,4.9,1.3,0.9,2.2,1.6,2013,blatcan01,  7118502 ,0.1213125990558803
46,Eric Bledsoe,PG,23,LAC,76,12,20.4,3.3,7.5,0.4,1.0,2.9,6.4,1.4,1.8,1.0,1.9,3.0,3.1,1.4,0.7,1.8,1.5,8.5,1.1,2.6,3.7,1.3,2.2,3.5,2.2,2013,bledser01,  1707720 ,0.02910274544555974
47,Keith Bogans,SG,32,BRK,74,23,19.0,1.5,3.8,1.1,3.3,0.3,0.5,0.1,0.2,0.2,1.4,1.6,1.0,0.4,0.1,0.7,1.5,4.2,0.7,0.7,1.4,-2.3,-0.3,-2.6,-0.2,2013,boganke01,  1229225 ,0.020948294960718487
48,Andrew Bogut,C,28,GSW,32,32,24.6,2.6,5.8,0.0,0.0,2.6,5.7,0.6,1.2,2.1,5.5,7.7,2.1,0.6,1.7,1.1,2.7,5.8,0.4,1.4,1.7,-1.4,2.8,1.4,0.7,2013,bogutan01,  13000000 ,0.22154433442969376
49,Matt Bonner,PF,32,SAS,68,4,13.4,1.6,3.4,0.8,1.8,0.9,1.6,0.2,0.2,0.4,1.5,1.9,0.5,0.3,0.3,0.2,1.3,4.2,1.4,1.1,2.5,-0.2,0.4,0.2,0.5,2013,bonnema01,  3630000 ,0.06186199492152218
50,Trevor Booker,PF,25,WAS,48,14,18.5,2.3,4.6,0.0,0.1,2.3,4.5,0.8,1.5,2.0,2.9,5.0,0.8,0.7,0.3,0.6,2.0,5.3,0.9,1.4,2.3,-1.5,0.6,-1.0,0.2,2013,booketr01,  1385280 ,0.023607764276828168
51,Carlos Boozer,PF,31,CHI,79,79,32.2,6.9,14.4,0.0,0.0,6.9,14.4,2.4,3.3,2.2,7.5,9.8,2.3,0.8,0.4,2.2,3.0,16.2,1.4,4.3,5.7,-0.3,0.2,-0.1,1.2,2013,boozeca01,  15000000 ,0.2556280781881082
52,Chris Bosh,C,28,MIA,74,74,33.2,6.6,12.3,0.3,1.0,6.3,11.3,3.3,4.1,1.8,5.0,6.8,1.7,0.9,1.4,1.7,2.3,16.6,5.6,3.4,9.0,1.5,-0.2,1.3,2.1,2013,boshch01,  17545000 ,0.2989996421206905
53,Avery Bradley,PG,22,BOS,50,50,28.7,3.8,9.6,0.8,2.5,3.0,7.0,0.7,1.0,0.6,1.6,2.2,2.1,1.3,0.4,1.4,2.6,9.2,-1.3,1.6,0.4,-4.0,0.3,-3.7,-0.6,2013,bradlav01,  1630800 ,0.02779188466061112
54,Elton Brand,C,33,DAL,72,18,21.2,3.1,6.6,0.0,0.0,3.1,6.6,0.9,1.3,1.8,4.2,6.0,1.0,0.7,1.3,0.8,2.7,7.2,1.2,2.2,3.4,-1.7,0.9,-0.9,0.4,2013,brandel01,  2100500 ,0.035796451882274746
55,Elton Brand,C,33,DAL,72,18,21.2,3.1,6.6,0.0,0.0,3.1,6.6,0.9,1.3,1.8,4.2,6.0,1.0,0.7,1.3,0.8,2.7,7.2,1.2,2.2,3.4,-1.7,0.9,-0.9,0.4,2013,brandel01,  16059854 ,0.27368997426677344
56,Corey Brewer,SF,26,DEN,82,2,24.4,4.6,10.8,1.1,3.7,3.5,7.0,1.8,2.6,0.7,2.2,2.9,1.5,1.4,0.3,1.2,1.9,12.1,1.7,2.2,3.9,-0.2,0.6,0.4,1.2,2013,breweco01,  3243000 ,0.05526679050426899
57,Ronnie Brewer,SF,27,TOT,60,34,14.2,1.2,3.3,0.4,1.3,0.8,2.0,0.3,0.7,0.7,1.6,2.3,0.8,0.7,0.1,0.3,0.6,3.0,0.1,1.0,1.1,-1.7,0.9,-0.7,0.3,2013,brewero02,  1069509 ,0.018226435351659027
58,Aaron Brooks,PG,28,TOT,53,20,18.8,2.7,6.0,0.9,2.5,1.8,3.4,0.8,1.0,0.2,1.3,1.5,2.2,0.6,0.2,1.3,1.8,7.1,0.8,0.0,0.8,-0.8,-1.4,-2.2,0.0,2013,brookaa01,  3250000 ,0.05538608360742344
59,MarShon Brooks,SG,24,BRK,73,2,12.5,2.1,4.6,0.2,0.8,1.9,3.8,0.9,1.3,0.4,1.0,1.4,1.0,0.5,0.2,0.9,1.3,5.4,0.5,0.8,1.3,-1.6,-0.1,-1.7,0.1,2013,brookma01,  1193280 ,0.02033572487602038
60,Kwame Brown,C,30,PHI,22,11,12.2,0.8,1.7,0.0,0.0,0.8,1.7,0.3,0.9,1.0,2.3,3.4,0.4,0.3,0.5,0.4,1.7,1.9,0.0,0.4,0.4,-4.9,0.0,-4.9,-0.2,2013,brownkw01,  2819044 ,0.04804178666984782
61,Shannon Brown,SG,27,PHO,59,22,23.8,4.1,9.7,0.7,2.4,3.4,7.3,1.7,2.1,0.7,1.8,2.5,1.8,1.0,0.3,1.3,1.6,10.5,0.4,0.8,1.2,-1.1,-0.5,-1.6,0.2,2013,brownsh01,  3500000 ,0.059646551577225246
